"","month","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun","sat_alt","sun_alt","avg_wkdayholminor_tstile","avg_satholmajor_tstile","avg_sun_tstile","real_fare","man_hud_KEEP","man_hud_opt","man_hud_pess","population_hud_opt","population_hud_pess","real_fare_q1_KEEP","pop_hudson_KEEP"
"50",2004-02-01,23,4,4,23,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,260640.91,117083,89883,117083,89883,258126.3478,117083,89883,1.978818429,2460.699446,2460.682718,2460.699446,622.3525842,622.3525842,2.087930784,622.3525684
"51",2004-03-01,22,5,4,22,5,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,249508.57,113373,86832,113373,86832,247210.0455,113373,86834,1.979009355,2359.428015,2359.417369,2359.428015,630.9218988,630.9218988,2.060204732,630.9219218
"52",2004-04-01,21,5,5,20,6,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,258095.1905,128413,100314.2,128413,116912,258095.1905,128413,100314.2,1.949559056,2395.383141,2395.382943,2395.383141,638.62359,638.62359,2.031823976,638.6236196
"53",2004-05-01,21,5,5,20,6,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,264716.6667,123129.8,100201.8,123130,117847,264716.6667,123129.8,100201.8,2.156160143,2464.074852,2464.113101,2464.074852,647.7616646,647.7616646,2.254491874,647.7616507
"54",2004-06-01,23,4,4,22,5,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,232578.5217,137725.25,92079.25,137725,115443,232578.5217,137725.25,92079.25,2.120325472,2513.300283,2513.426172,2513.300283,654.1616527,654.1616527,2.21062531,654.1616415
"55",2004-07-01,23,4,4,22,5,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,256562.5652,125494.5,93437.75,NA,NA,256562.5652,125494.5,93437.75,2.359458939,2577.46008,2577.812882,2577.46008,658.5291327,658.5291327,2.456097452,658.5291105
"56",2004-08-01,23,4,4,22,5,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,259577.7391,105930.25,85194,NA,NA,259577.7391,105930.25,85194,2.587092131,2654.891752,2655.525531,2654.891752,662.1279397,662.1279397,2.707347889,662.1279394
"57",2004-09-01,22,5,4,21,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,271628.8636,123323,93542.75,123323,117169,271628.8636,123323,93542.75,2.834756133,2713.512278,2714.579466,2713.512278,666.2897392,666.2897392,2.961546834,666.2897349
"58",2004-10-01,21,5,5,20,6,5,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,273053.9524,99278.6,76732.4,NA,NA,273053.9524,99278.6,76732.4,2.800244959,2763.941857,2765.374226,2763.941857,670.4003867,670.4003867,2.913857104,670.4004192
"59",2004-11-01,22,4,5,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,293285.6364,129132,89989.8,129132,110852,293285.6364,129132,89989.8,2.75,2817.851081,2819.7012,2817.851081,674.1090609,674.1090609,2.866694925,674.1090283
"60",2004-12-01,23,4,4,22,5,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,295574.1304,100914.75,78066.75,NA,NA,295574.1304,100914.75,78066.75,2.75,2863.536885,2867.856148,2863.536885,677.5068615,677.5068615,2.814755115,677.4890343
"61",2005-01-01,23,4,4,22,4,5,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,294025.2609,116127.5,77290.75,2.75,2899.034166,2907.524094,2892.433579,681.8260602,681.8260602,2.76394465,681.9268961
"62",2005-02-01,22,5,4,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2905.660963,2906.489557,2868.467364,686.3434572,686.3434572,2.75,686.6338913
"63",2005-03-01,21,5,5,20,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2911.283775,2924.31414,2852.051185,691.2297972,691.2297972,2.75,691.621695
"64",2005-04-01,21,5,5,20,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2920.096639,2923.814325,2850.913957,696.3173637,696.3173637,2.75,696.6996765
"65",2005-05-01,22,4,5,21,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2929.345538,2926.75507,2851.593642,701.3584084,701.3584084,2.75,701.7445242
"66",2005-06-01,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2939.176973,2931.841821,2854.000955,706.4698892,706.4698892,2.75,706.7894532
"67",2005-07-01,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2952.041063,2940.923351,2866.492249,711.4615017,711.4615017,2.75,711.6748592
"68",2005-08-01,22,5,4,21,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2966.427842,2952.979873,2880.462106,716.3643038,716.3643038,2.75,716.4995653
"69",2005-09-01,21,5,5,20,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2981.485316,2967.038869,2895.083221,721.108749,721.108749,2.75,721.2640287
"70",2005-10-01,22,4,5,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2996.893554,2983.695366,2910.044936,725.8059866,725.8059866,2.75,725.9243331
