"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","manhattan_base_2020_10","hudson_base_2020_10","pop_hudson_2020_10","cpi_2020_10","man_hud_2020_10","pop_hudson_2020_06","month"
"Nov 2004",2335.0142204683,208.820380138362,615.140826134185,2335.00904486312,191.840970149905,8071.88901208226,2090.00643217693,245.01826360305,8071.88901208226,8071.88901208226,2335.02469596194,2335.02469596194,191.840911863403,2091.17722891699,244.963092090512,615.140815929338,191.840911863403,2336.14032126943,615.140826170223,2004-11-01
"Dec 2004",2338.75337292207,209.745456374091,615.131407727556,2338.75028469225,192.132541656237,8071.24804828388,2092.16191954485,246.600125184105,8071.24804828388,8071.24804828388,2338.76204451186,2338.76204451186,192.132358976055,2093.37193149243,246.554495054163,615.131400815558,192.132358976055,2339.92642681313,615.131408453386,2004-12-01
"Jan 2005",2342.900002,210.3664,615.1225524,2342.900002,192.367,8074.128,2095.016754,247.8916974,8074.128,8074.128,2342.908451,2342.908451,192.3667,2096.093414,247.8314348,615.1225482,192.3667,2343.924849,615.1225518,2005-01-01
"Feb 2005",2347.12764010504,210.598636081245,615.120451293973,2347.13055204266,192.637239889387,8082.66419335957,2098.59180666639,248.54649307702,8082.66419335957,8082.66419335957,2347.13829949527,2347.13829949527,192.63688718395,2099.41315812627,248.432687232592,615.120445573782,192.63688718395,2347.84584541717,615.12044635222,2005-02-01
"Mar 2005",2351.41703869703,210.671404772307,615.130096442207,2351.42186105114,193.038592941344,8095.2736934269,2102.68115757887,248.749563319196,8095.2736934269,8095.2736934269,2351.43072094122,2351.43072094122,193.038247123274,2103.2153832093,248.568819438552,615.130088627119,193.038247123274,2351.7842025245,615.130086618766,2005-03-01
"Apr 2005",2355.825754,210.8924,615.1561801,2355.830748,193.667,8109.444,2107.022189,248.8188438,8109.444,8109.444,2355.841033,2355.841033,193.6667,2107.337493,248.5933463,615.1561751,193.6667,2355.930839,615.1561682,2005-04-01
"May 2005",2360.35561392634,211.491582944064,615.197085101032,2360.35875896624,194.571218440693,8122.81002929421,2111.38206441676,248.987552707387,8122.81002929421,8122.81002929421,2360.36961716806,2360.36961716806,194.570987548942,2111.62415809643,248.766042616153,615.197091038496,194.570987548942,2360.39020028408,615.197076054231,2005-05-01
"Jun 2005",2364.7855331417,212.387983795943,615.225956592505,2364.78634843654,195.611271763577,8133.59636319375,2115.64707221376,249.150038287259,8133.59636319375,8133.59636319375,2364.79711027884,2364.79711027884,195.611137716038,2115.9491164852,248.971722854595,615.225975713003,195.611137716038,2364.92083886667,615.225952571551,2005-06-01
"Jul 2005",2368.838698,213.4229,615.2096303,2368.838698,196.6,8140.175,2119.733282,249.1159313,8140.175,8140.175,2368.849213,2368.849213,196.6,2120.193373,249.0014614,615.2096567,196.6,2369.194834,615.2096295,2005-07-01
"Aug 2005",2372.3660484118,214.449417327681,615.127037813008,2372.36794327756,197.388997458947,8141.90635613022,2123.61774151842,248.760805534172,8141.90635613022,8141.90635613022,2372.37854705468,2372.37854705468,197.389162620278,2124.29740474723,248.712521713907,615.127060053717,197.389162620278,2373.00992626128,615.127035749375,2005-08-01
"Sep 2005",2375.72953851399,215.36777485874,615.005494176661,2375.73403601752,197.984875559909,8142.10452046481,2127.5214110476,248.224006891027,8142.10452046481,8142.10452046481,2375.74541838788,2375.74541838788,197.985168679246,2128.43957792399,248.226923565292,615.005505739388,197.985168679246,2376.66650152737,615.005488876511,2005-09-01
"Oct 2005",2379.418876,216.09,614.8844103,2379.423882,198.433,8145.072,2131.726229,247.7108243,8145.072,8145.072,2379.437054,2379.437054,198.4333,2132.857731,247.7328758,614.8844122,198.4333,2380.590607,614.8844036,2005-10-01
"Nov 2005",2383.77735179681,216.580355152614,614.793698832121,2383.77904607166,198.783273204997,8153.81613877749,2136.41987862066,247.375073322595,8153.81613877749,8153.81613877749,2383.79495246503,2383.79495246503,198.783410118089,2137.6986006924,247.373888768963,614.793697550342,198.783410118089,2385.07248967077,614.793694992712,2005-11-01
"Dec 2005",2388.56258976535,217.012042695026,614.725279382333,2388.55972934525,199.103744515309,8166.16362902109,2141.41302248476,247.164676048629,8166.16362902109,8166.16362902109,2388.57769865114,2388.57769865114,199.103639418835,2142.74451670777,247.114678843493,614.725278592409,199.103639418835,2389.85919569056,614.725279544627,2005-12-01
"Jan 2006",2393.385797,217.6105,614.6615733,2393.380792,199.467,8178.646,2146.422068,246.9760812,8178.646,8178.646,2393.398149,2393.398149,199.4667,2147.686707,246.8752639,614.6615718,199.4667,2394.561971,614.6615741,2006-01-01
"Feb 2006",2397.92776677131,218.529799098896,614.587889765916,2397.92540102837,199.935539350692,8188.54597764865,2151.20737373966,246.73103029397,8188.54597764865,8188.54597764865,2397.9384038259,2397.9384038259,199.935182092548,2152.27999837203,246.595843143577,614.587883185658,199.935182092548,2398.87584168523,614.587885098294,2006-02-01
"Mar 2006",2402.14763705428,219.638550657455,614.501089286599,2402.14995067558,200.531516749228,8196.15107456197,2155.7051029393,246.452436029269,8196.15107456197,8196.15107456197,2402.1575389335,2402.1575389335,200.531188460233,2156.53361302275,246.297341094066,614.501076916903,200.531188460233,2402.83095441413,614.501077359796,2006-03-01
"Apr 2006",2406.074132,220.734,614.4009202,2406.079142,201.267,8202.5,2159.89537,246.1885039,8202.5,8202.5,2406.083874,2406.083874,201.2667,2160.520372,246.0208636,614.4009067,201.2667,2406.541236,614.4009053,2006-04-01
"May 2006",2409.69887352534,221.634466970314,614.290888437549,2409.70183370372,202.107236058899,8208.5808765538,2163.7104540503,245.998312957084,8208.5808765538,8208.5808765538,2409.70876704614,2409.70876704614,202.106905956159,2164.2433136713,245.820384460435,614.290882662582,202.106905956159,2410.06369855124,614.290879688186,2006-05-01
"Jun 2006",2412.86507461014,222.242569489973,614.189530304603,2412.86351506356,202.830188487784,8215.17948013846,2166.89129312843,245.984436478737,8215.17948013846,8215.17948013846,2412.87572946671,2412.87572946671,202.829828962459,2167.42634568274,245.801349276537,614.189540617756,202.829828962459,2413.22769535663,614.189536708782,2006-06-01
"Jul 2006",2415.378846,222.482,614.1191397,2415.373833,203.167,8223.031,2169.13099,246.2603213,8223.031,8223.031,2415.391311,2415.391311,203.1667,2169.723593,246.0820716,614.1191728,203.1667,2415.805665,614.1191689,2006-07-01
"Aug 2006",2417.30844238659,222.343884871697,614.09494857648,2417.30360111968,202.965886784078,8232.77884946943,2170.48711579986,246.836753636955,8232.77884946943,8232.77884946943,2417.32386910063,2417.32386910063,202.965786675404,2171.16000109089,246.676415625794,614.095007715868,202.965786675404,2417.83641718385,614.095004897109,2006-08-01
"Sep 2006",2419.7706942459,222.089086197469,614.103941102396,2419.76829977388,202.543358929268,8244.69933821756,2172.4751151396,247.313877229858,8244.69933821756,8244.69933821756,2419.78899208854,2419.78899208854,202.543503097341,2173.24379743151,247.180448122008,614.104018960221,202.543503097341,2420.42424608528,614.104017723595,2006-09-01
"Oct 2006",2424.144576,222.0459,614.1260395,2424.144576,202.333,8258.977,2176.974901,247.1891752,8258.977,8258.977,2424.164076,2424.164076,202.3333,2177.85403,247.0857865,614.1261164,202.3333,2424.939817,614.1261165,2006-10-01
"Nov 2006",2431.22558996533,222.45481576512,614.145262771344,2431.22621229901,202.657513101083,8275.37354038322,2185.06538678728,246.178072613613,8275.37354038322,8275.37354038322,2431.24345925504,2431.24345925504,202.657788082966,2186.05686855771,246.101129688238,614.145311662836,202.657788082966,2432.15799856517,614.145311945599,2006-11-01
"Dec 2006",2439.47535003589,223.205096831261,614.162017037666,2439.47553302611,203.396079498849,8291.95935217657,2194.62148760948,244.867762316647,8291.95935217657,8291.95935217657,2439.48924980877,2439.48924980877,203.396217907436,2195.66696999866,244.803502683581,614.162023419137,203.396217907436,2440.47047278374,614.162021174614,2006-12-01
"Jan 2007",2446.771998,224.0982,614.1808052,2446.771998,204.317,8306.382,2202.717119,244.0633791,8306.382,8306.382,2446.780498,2446.780498,204.317,2203.686113,243.987012,614.1807721,204.317,2447.673125,614.1807629,2007-01-01
"Feb 2007",2451.56552667799,224.958722438192,614.201457538143,2451.56658046203,205.217245996771,8316.83995196058,2207.24869634729,244.319568904894,8316.83995196058,8316.83995196058,2451.56826517549,2451.56826517549,205.217190622358,2207.98086927084,244.201585399035,614.201401347602,205.217190622358,2452.18245477763,614.201381005679,2007-02-01
"Mar 2007",2454.59333301798,225.703822773787,614.205113846941,2454.59630734394,206.00847122349,8323.73529011328,2209.40263445957,245.18902227392,8323.73529011328,8323.73529011328,2454.59165671347,2454.59165671347,206.008428976622,2209.87698264795,245.020435632554,614.205047648418,206.008428976622,2454.89741855756,614.20502005943,2007-03-01
"Apr 2007",2457.164665,226.2738,614.1682413,2457.169719,206.631,8328.021,2211.187848,245.9739409,8328.021,8328.021,2457.161789,2457.161789,206.631,2211.56499,245.7725967,614.1681707,206.631,2457.337587,614.1681498,2007-04-01
"May 2007",2460.32256498934,226.649016704329,614.090309535342,2460.32914655654,207.064021430346,8330.78483695959,2214.15825300873,246.164627477921,8330.78483695959,8330.78483695959,2460.32288078371,2460.32288078371,207.064056835004,2214.71822943299,245.967975211919,614.090236565276,207.064056835004,2460.68620469464,614.090241250205,2007-05-01
