month,week,sat,sun,sat_alt,sun_alt,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12,pop_hudson,real_fare,sun_x_avg,sat_x_avg,week_x_avg,man_hud,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile
3/1/2003,160269,84040,57064,84040,57064,21,5,5,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,615.4531,2.051560122,0,0,0,2325.388861,160269,84040,57064
4/1/2003,157178,76129,59661,76129,59661,22,4,4,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,615.3456007,2.055732079,0,0,0,2320.692263,157178,76129,59661
5/1/2003,157661,70609.66667,59529,75650,59529,21,6,4,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,615.3230361,2.0546875,0,0,0,2319.189679,157661,75650,59529
6/1/2003,157628,75878,63435,75878,63435,21,4,5,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,615.3567686,2.053643982,0,0,0,2320.224324,161773,75878,63435
7/1/2003,159115.5455,78291.4,59233,78959,59233,22,5,4,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,615.4019745,2.045333839,0,0,0,2322.608238,159151,78959,59233
8/1/2003,144234.4286,73522.4,60693,73561,60693,21,5,5,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,615.4224378,2.030951783,0,0,0,2325.142894,144250,73561,60693
9/1/2003,159563.1905,76001,63114.75,80677,63307,21,5,4,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,615.4163735,2.025864228,0,0,0,2326.587501,159573,80677,63307
10/1/2003,159225.3043,81679,60430,81679,60482,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,615.3906044,2.0218125,0,0,0,2325.6907,160130,81679,60482
11/1/2003,161795.4444,88218.71429,62725,86242,62725,18,7,5,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,615.3525226,2.027896189,0,0,0,2321.919992,163070,86242,62725
12/1/2003,172311.0909,86788.2,62275.75,87730,62313,22,5,4,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,615.3117987,2.028913698,0,0,0,2317.618306,176505,87730,62313
1/1/2004,177525.4,75804,49634,74050,49634,20,7,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,615.2786724,2.022823912,0,0,0,2315.847427,177570,74050,49634
2/1/2004,191287.4211,87300,60970,88649,60970,19,5,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,615.2597305,2.010753357,0,0,0,2318.648713,191291,88649,60970
3/1/2004,189024.1304,91208,64254,91208,64254,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,615.2469468,1.988016224,0,0,0,2323.981811,189097,91208,64254
4/1/2004,190263,96222,64828.75,96222,64910,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,615.2286419,1.982169118,0,0,0,2328.785939,190263,96222,64910
5/1/2004,194556,85723,67675,91377,67675,20,6,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,615.1973535,1.978290117,0,0,0,2330.754938,194556,91377,67675
6/1/2004,199902,90659,74653,90659,74653,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,615.1624884,1.962924757,0,0,0,2330.601143,199902,90659,74653
7/1/2004,195774.0476,84863.66667,68117,88593,68117,21,6,4,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,615.1376705,1.96770073,0,0,0,2329.791515,195926,88593,68117
8/1/2004,192886,86926,69522,86926,69522,22,4,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,615.1322484,1.965787555,0,0,0,2329.570826,192886,86926,69522
9/1/2004,200209,84600.4,71098,86290,71098,21,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,615.1384696,1.963878096,0,0,0,2330.295108,200209,86290,71098
10/1/2004,198391.8571,90672,69064,90672,69064,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,615.144306,1.950615051,0,0,0,2332.098208,200575,90672,69064
11/1/2004,195030.15,91410.66667,64852,89946,64852,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,615.1408157,1.951556467,0,0,0,2335.024696,196542,89946,64852
12/1/2004,199264,92326.33333,71552,105516,71552,21,6,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,615.1314001,1.955331238,0,0,0,2338.762045,193804,105516,71552
1/1/2005,191490.35,74210.5,53086.6,70081.6,52942.67,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,615.1225468,1.94311629,180.3333333,569.4,3299.45,2342.908451,186923.55,70081.6,52942.67
2/1/2005,196499,83408.8,65767,86386,65767,19,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,615.1204446,1.935674964,0,0,0,2347.138299,196499,86386,65767
3/1/2005,193516,89088,57685,89088,57685,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,615.1300881,1.903778249,0,0,0,2351.430721,193516,89088,57685
4/1/2005,208759.4762,86284,64892,86284,64892,21,5,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,615.1561731,1.902882353,0,0,0,2355.841033,209008,86284,64892
5/1/2005,206201,88679.2,70702,92896,70702,21,5,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,615.1970848,1.912783822,0,0,0,2360.369617,206201,92896,70702
6/1/2005,211153.3182,94610.25,76908,94721,76908,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,615.225965,1.919138586,0,0,0,2364.79711,211199,94721,76908
7/1/2005,207674,92257.33333,73437.8,93597,73815.33,20,6,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,615.2096448,1.902882353,21.66666667,17,0,2368.849213,207674,93597,73815.33
8/1/2005,202986.8261,87189.5,65926.5,87177.5,65888.5,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,615.1270525,1.88866184,38.5,12.5,2.173913043,2372.378547,202984.83,87177.5,65888.5
9/1/2005,211369.8095,90114.6,74779,95081.25,74779,21,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,615.0055055,1.873783596,0,172.75,189.1904762,2375.745418,211180.81,95081.25,74779
10/1/2005,210197.619,90173,70018,90173,70018,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,614.8844185,1.866862881,0,0,0,2379.437054,212579,90173,70018
