"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","month"
"Mar 2008",2493.09688121154,234.122456345982,618.17150086437,2493.10391389933,214.325789496538,8390.89146667335,2245.25546192031,247.836886451765,8390.89146667335,8390.89146667335,2493.09234862678,2493.09234862678,214.325455226621,2008-03-01
"Apr 2008",2492.875032,235.4112,618.6404253,2492.880157,215.538,8381.942,2245.355701,247.5124797,8381.942,8381.942,2492.868181,2492.868181,215.5377,2008-04-01
"May 2008",2492.38018188841,237.07039589188,619.077488955852,2492.38206689437,217.132254761717,8374.91282693996,2245.16195082877,247.218685796717,8374.91282693996,8374.91282693996,2492.38063673543,2492.38063673543,217.132064479061,2008-05-01
"Jun 2008",2490.83889632855,238.567839454051,619.536200795455,2490.8370491656,218.497126715661,8366.79114377993,2243.98687123354,246.864411471021,8366.79114377993,8366.79114377993,2490.85128254123,2490.85128254123,218.49706298846,2008-06-01
"Jul 2008",2487.215998,239.23,620.085579,2487.210862,218.861,8353.089,2240.917788,246.3200823,8353.089,8353.089,2487.23787,2487.23787,218.861,2008-07-01
"Aug 2008",2480.74211938983,238.626684744134,620.771851927895,2480.73499429703,217.734426559687,8330.71695249721,2235.2400905314,245.525788016819,8330.71695249721,8330.71695249721,2480.76587839361,2480.76587839361,217.734373068253,2008-08-01
"Sep 2008",2471.71113221499,237.301052504484,621.550088646404,2471.70385780864,215.756629566748,8302.17958783649,2227.03142270109,244.700274978962,8302.17958783649,8302.17958783649,2471.73169780088,2471.73169780088,215.756452078801,2008-09-01
"Oct 2008",2460.682718,236.0396,622.3525684,2460.677595,213.849,8271.38,2216.567492,244.1319537,8271.38,8271.38,2460.699446,2460.699446,213.8487,2008-10-01
"Nov 2008",2448.18513247823,235.44116883529,623.125693688121,2448.18438132496,212.733557518061,8241.26347418243,2204.19621534194,244.004374058233,8241.26347418243,8241.26347418243,2448.20058961611,2448.20058961611,212.733195099786,2008-11-01
"Dec 2008",2434.62092821883,235.353980157639,623.872360030044,2434.62452419238,212.334836498823,8210.94406042952,2190.55434733243,244.081643390906,8210.94406042952,8210.94406042952,2434.63599066259,2434.63599066259,212.334476844479,2008-12-01
"Jan 2009",2420.361232,235.4386,624.6095862,2420.366364,212.378,8178.578,2176.350852,244.0230084,8178.578,8178.578,2420.37386,2420.37386,212.3777,2009-01-01
"Feb 2009",2405.93827006769,235.436999173966,625.351859860358,2405.94044795876,212.628824849555,8143.55311373618,2162.35878328607,243.586052690993,8143.55311373618,8143.55311373618,2405.94483529017,2405.94483529017,212.62862801409,2009-02-01
"Mar 2009",2392.52866653925,235.416767605698,626.103544226017,2392.52615053288,213.015542956475,8110.18354081563,2149.60755478394,242.92170748334,8110.18354081563,8110.18354081563,2392.52926140053,2392.52926140053,213.0154590618,2009-03-01
"Apr 2009",2381.470145,235.5269,626.8664714,2381.465053,213.507,8084.015,2139.19067,242.2792409,8084.015,8084.015,2381.46991,2381.46991,213.507,2009-04-01
"May 2009",2373.69403573257,235.878782616994,627.637230407479,2373.69110721044,214.073735676311,8068.81307087301,2131.86958910644,241.831600992614,8068.81307087301,8068.81307087301,2373.70118933438,2373.70118933438,214.073763214222,2009-05-01
