"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","month"
"Mar 2022",2924.2160539609,292.286251744007,693.73525962324,2894.70425243892,262.908953729619,9476.05713451811,2022-03-01
"Apr 2022",2924.115109,292.8065019,694.1649317,2896.683545,263.338,9477.867,2022-04-01
"May 2022",2924.03042869999,293.312466299131,694.598734551597,2898.67820400669,263.767641654331,9479.60595103314,2022-05-01
"Jun 2022",2923.95856073393,293.81608135398,695.032206300895,2900.66332724491,264.197039225784,9481.28133198426,2022-06-01
"Jul 2022",2923.892762,294.3357,695.4596593,2902.494994,264.625,9482.927,2022-07-01
"Aug 2022",2923.8318440196,294.882165348957,695.877281722607,2904.05294299359,265.050985544264,9484.57920860103,2022-08-01
"Sep 2022",2923.79683680707,295.436281217854,696.288765028739,2905.31155069254,265.477074552432,9486.28379680411,2022-09-01
"Oct 2022",2923.814325,295.9713416,696.6996765,2906.268853,265.906,9488.089,2022-10-01
"Nov 2022",2923.90289892533,296.469550693927,697.114440220936,2906.94881164857,266.33967542787,9490.02606641457,2022-11-01
"Dec 2022",2924.04917166742,296.94875351905,697.532907487855,2907.47909168863,266.776736638563,9492.05829561411,2022-12-01
"Jan 2023",2924.231762,297.4357053,697.9537864,2908.013284,267.215,9494.132,2023-01-01
"Feb 2023",2924.43533124205,297.949722464221,698.375950923275,2908.66337607878,267.652757188698,9496.19578499995,2023-02-01
"Mar 2023",2924.66871089362,298.480366250392,698.798938490212,2909.37494188626,268.090201115541,9498.20742814687,2023-03-01
"Apr 2023",2924.946775,299.0097591,699.2224524,2910.051952,268.528,9500.127,2023-04-01
"May 2023",2925.27545418053,299.526003267706,699.646071422999,2910.62453766593,268.966518039558,9501.91820099304,2023-05-01
"Jun 2023",2925.62490535069,300.041120260865,700.06887621426,2911.12747280338,269.404903343721,9503.55925105766,2023-06-01
"Jul 2023",2925.956342,300.5731114,700.4898229,2911.621692,269.842,9505.032,2023-07-01
"Aug 2023",2926.24210244325,301.13245095384,700.908365703244,2912.14219688711,270.277318801217,9506.33626287973,2023-08-01
"Sep 2023",2926.49902429623,301.699504983927,701.325951234232,2912.6202572706,270.713037361429,9507.54371577063,2023-09-01
"Oct 2023",2926.75507,302.2471125,701.7445242,2912.96121,271.152,9508.744,2023-10-01
"Nov 2023",2927.03266634279,302.757195935448,702.165594126984,2913.11050337821,271.596169718535,9510.00037711768,2023-11-01
"Dec 2023",2927.33209750145,303.248011418243,702.588929819186,2913.17403152162,272.043984247601,9511.27058956355,2023-12-01
