"","man_hud","cpi","pop_hudson","man_hud_COVID","month_"
"Mar 2021",2916.90539281684,286.38865034245,688.689643062636,2786.89436963455,2021-03-01
"Apr 2021",2918.23393,286.8649535,689.1083886,2801.511627,2021-04-01
"May 2021",2919.66210202527,287.294537048901,689.530436986972,2817.3203682248,2021-05-01
"Jun 2021",2921.08499329182,287.712566025939,689.953413892596,2833.13183245052,2021-06-01
"Jul 2021",2922.335809,288.1704687,690.3743319,2846.977716,2021-07-01
"Aug 2021",2923.28206121023,288.702199369853,690.791197541787,2857.43950509177,2021-08-01
"Sep 2021",2923.92848942328,289.271816453795,691.205993148462,2865.29784552642,2021-09-01
"Oct 2021",2924.31414,289.8259044,691.621695,2871.883173,2021-10-01
"Nov 2021",2924.48278946715,290.325988082796,692.040587390321,2878.21342788955,2021-11-01
"Dec 2021",2924.49713501507,290.793354081106,692.462186669112,2884.05656929571,2021-12-01
"Jan 2022",2924.424604,291.2642294,692.8853172,2888.868061,2022-01-01
"Feb 2022",2924.32355281007,291.765445510073,693.309277115446,2892.2891545352,2022-02-01
"Mar 2022",2924.2160539609,292.286251744007,693.73525962324,2894.70425243892,2022-03-01
"Apr 2022",2924.115109,292.8065019,694.1649317,2896.683545,2022-04-01
"May 2022",2924.03042869999,293.312466299131,694.598734551597,2898.67820400669,2022-05-01
"Jun 2022",2923.95856073393,293.81608135398,695.032206300895,2900.66332724491,2022-06-01
"Jul 2022",2923.892762,294.3357,695.4596593,2902.494994,2022-07-01
"Aug 2022",2923.8318440196,294.882165348957,695.877281722607,2904.05294299359,2022-08-01
"Sep 2022",2923.79683680707,295.436281217854,696.288765028739,2905.31155069254,2022-09-01
"Oct 2022",2923.814325,295.9713416,696.6996765,2906.268853,2022-10-01
"Nov 2022",2923.90289892533,296.469550693927,697.114440220936,2906.94881164857,2022-11-01
"Dec 2022",2924.04917166742,296.94875351905,697.532907487855,2907.47909168863,2022-12-01
"Jan 2023",2924.231762,297.4357053,697.9537864,2908.013284,2023-01-01
"Feb 2023",2924.43533124205,297.949722464221,698.375950923275,2908.66337607878,2023-02-01
