"","month","week_avg","sat_avg","sun_avg","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun"
"74",2025-10-01,307106.241014791,143760.638775546,103789.21903584,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6756337.30232539,575042.555102186,518946.095179201
"75",2025-11-01,301158.73957446,138356.818549873,100065.462288779,18,7,5,17,5,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5119698.57276582,691784.092749365,800523.698310233
"76",2025-12-01,291517.140982428,138592.257795715,102247.806203975,22,5,4,22,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,6413377.10161342,554369.031182859,511239.031019876
"77",2026-01-01,290249.699937921,124042.168520314,86215.1352866756,20,7,4,20,4,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5804993.99875842,496168.674081258,603505.94700673
"78",2026-02-01,295564.755594293,130973.141080123,91692.9782983456,19,5,4,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5615730.35629158,523892.564320494,458464.891491728
"79",2026-03-01,298347.091707371,144747.068040758,94564.3861418554,22,4,5,22,5,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6563636.01756217,723735.340203789,378257.544567422
"80",2026-04-01,303939.590241349,146985.016802191,100748.639789131,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6686670.98530968,587940.067208763,402994.559156524
"81",2026-05-01,306868.637695405,139077.136481331,105409.196853023,20,6,5,20,5,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6137372.7539081,695385.682406655,632455.18111814
"82",2026-06-01,310351.865141713,146299.035038905,110968.52286436,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6827741.03311769,585196.14015562,443874.091457439
"83",2026-07-01,306496.121226781,142575.12520596,104663.018884298,22,5,4,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6742914.66698918,570300.500823842,523315.09442149
"84",2026-08-01,300621.180147196,141451.557229552,103252.081945685,21,5,5,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6313044.78309113,707257.786147762,516260.409728427
"85",2026-09-01,311175.365087381,142751.018123235,108075.513032184,21,5,4,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6534682.666835,571004.072492938,540377.565160919
"86",2026-10-01,309285.07249945,146558.531274424,105430.983485829,22,5,4,21,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6494986.52248846,586234.125097695,632585.900914975
"87",2026-11-01,303350.141899847,141152.164144584,101705.732250785,19,6,5,18,5,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5460302.55419724,705760.820722922,711940.125755495
"88",2026-12-01,293721.958010051,141385.174207872,103886.650755404,22,5,4,22,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,6461883.07622112,565540.696831487,519433.253777022
"89",2027-01-01,292470.411003163,126832.833144207,87852.6585200334,19,7,5,19,5,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5556937.8090601,634164.165721036,614968.609640234
"90",2027-02-01,297804.364189876,133761.76314707,93329.3029876623,19,5,4,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5658282.91960765,535047.05258828,466646.514938312
